Unnamed: 0,Unnamed: 0.1,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,compoundChatGPT
76,76,2022-09-14 14:23:53+00:00,https://twitter.com/upsetonly/status/1570055741028945926,upsetonly,Twitter for iPhone,Edgeville,"so lets get this straight , we just buy eth and let it be bullish into the merge?  never that simple, like ive been saying.",4,0,0,0,0.0039,"Sentiment(polarity=0.1, subjectivity=0.37857142857142856)",0.2
934,934,2022-09-07 09:32:12+00:00,https://twitter.com/Olemolelilalulo/status/1567445621824536582,Olemolelilalulo,Twitter Web App,,"$plasma has bullish utility, a doxed dev and liquidity is locked for 98 years! come and grow with us! plasma eth 1000xgem",1,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
642,642,2022-09-09 08:10:15+00:00,https://twitter.com/Marcus2O22/status/1568149773122772993,Marcus2O22,Twitter for iPad,web3 // Metaverse,ens 3letter bullish  ensdomains ens ensdomain eth ethereum metaverse web3domain web3names nft nfts  ,7,0,0,3,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
875,875,2022-09-07 20:05:17+00:00,https://twitter.com/cathy_summer08/status/1567604940859654150,cathy_summer08,Twitter Web App,"Toronto, Canada",eth/usd   eth is testing 0.618 fib level from the below  bullish case if we break above the one | local scenario ,2,0,0,2,0.0,"Sentiment(polarity=0.0, subjectivity=0.05)",0.5
637,637,2022-09-09 09:31:16+00:00,https://twitter.com/TarantulaFX/status/1568170160933969921,TarantulaFX,Twitter Web App,,eth/usd bullish formations for +150 pips at the moment crypto ethereum eth trading forex fx   ,1,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.6
638,638,2022-09-09 09:00:08+00:00,https://twitter.com/RetrospectApps/status/1568162327425417220,RetrospectApps,Retrospect Tweets,Crypto Space, hourly eth update   1711.22$ | 5.38% -score -11.733097292917542 market view: 0.0 24h: somewhat bullish   follow for more! more info in bio    analysis ethereum predictions app tool,0,0,0,0,0.0,"Sentiment(polarity=0.5625, subjectivity=0.5)",0.0
803,803,2022-09-08 09:58:32+00:00,https://twitter.com/chartsIV/status/1567814637701439490,chartsIV,Twitter Web App,,"the bearish patterns above will differ amongst other ta's depending on how they see or draw it, but ultimately eth ethereum is eyeing to go below $1400.",0,0,0,0,0.0,"Sentiment(polarity=-0.041666666666666664, subjectivity=0.4916666666666667)",-0.7
919,919,2022-09-07 13:07:43+00:00,https://twitter.com/WaKeAiR_S_S/status/1567499858164027396,WaKeAiR_S_S,Twitter for Android,,  $eth $wpt eth bullish,2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
699,699,2022-09-08 17:32:15+00:00,https://twitter.com/NunoAlm16725824/status/1567928819264143360,NunoAlm16725824,Twitter for Android,,    $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,3,0,0,0,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
639,639,2022-09-09 08:51:11+00:00,https://twitter.com/RhinoCryptoGems/status/1568160072819445760,RhinoCryptoGems,Twitter for Android,, what happen to etc when eth merge goes live  looking bullish,0,0,0,1,0.0,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",0.7
698,698,2022-09-08 17:33:29+00:00,https://twitter.com/NunoAlm16725824/status/1567929128682401792,NunoAlm16725824,Twitter for Android,, $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,2,1,0,0,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
856,856,2022-09-07 23:58:51+00:00,https://twitter.com/Georgette_369/status/1567663722877063168,Georgette_369,Twitter for Android,United States, i am probably to bullish on eth to give you an objective answer,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.1)",0.5
854,854,2022-09-08 00:00:42+00:00,https://twitter.com/InsiderFinancex/status/1567664185613377537,InsiderFinancex,Make (formerly Integromat),United States,algo signal: $eth showing bullish trend at 1629.92 according to proprietary technical indicators from   eth ethereum crypto trading,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.1)",0.7
920,920,2022-09-07 13:07:42+00:00,https://twitter.com/bitcoinagile/status/1567499852925263875,bitcoinagile,bitcoinagile,Matter Doesn't Matter,caution bullish for coinbase:ethusd by bmywin eth $eth  ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
821,821,2022-09-08 06:24:48+00:00,https://twitter.com/HB_VOLT_7827/status/1567760847207817217,HB_VOLT_7827,Twitter for Android,"Anchorage, AK", $volt voltinu voltarmy voltisoft voltichange voltieco 1000xgem hodl bullish   croeffect  voltinutothemoon  cro okx binance kucoin eth bsc vdsc voltieco voltipay shibarmy  nfts voltinuofficial ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
853,853,2022-09-08 00:28:06+00:00,https://twitter.com/MuppetMastertm/status/1567671082110394368,MuppetMastertm,Twitter for Android,Canada,do you believe the eth merge will turn out to be bullish or bearish by the end of 2022?  ethereummerge eth ethereum binance cryptocurrency,0,0,0,4,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
697,697,2022-09-08 17:34:02+00:00,https://twitter.com/NunoAlm16725824/status/1567929266876157953,NunoAlm16725824,Twitter for Android,, $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,6,3,0,0,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
852,852,2022-09-08 00:38:31+00:00,https://twitter.com/PermutoFx/status/1567673702229184513,PermutoFx,Twitter for Android,,short  bearish re-test olacan dnyorum.  scalp ilem olduundan detay paylamyorum.  sl/tp emirlerimi attm. yarn ok iim var uyku vakti herkese bol kazanlar dostlar. behll kaar.  eth ,9,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.3)",-0.2
876,876,2022-09-07 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1567603625094008834,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 07, 2022 @ 16:00 edt is  58% bearish   bearmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.58
645,645,2022-09-09 07:55:02+00:00,https://twitter.com/Shaheryarm22/status/1568145942116704256,Shaheryarm22,Twitter for Android,"Dubai, UAE",eth/usd   we have an inverse head &amp; shoulders formation on 4h  bullish case if we break above the neckline of the one ,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.1)",0.7
696,696,2022-09-08 17:34:21+00:00,https://twitter.com/NunoAlm16725824/status/1567929347776081921,NunoAlm16725824,Twitter for Android,, $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,3,2,0,1,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
737,737,2022-09-08 11:08:49+00:00,https://twitter.com/Jil_31/status/1567832323714056193,Jil_31,Twitter Web App, India,get this eth explode animation     blender lowpoly eth explode rock ,2,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
910,910,2022-09-07 14:46:43+00:00,https://twitter.com/TheWayoftheWan1/status/1567524770287157249,TheWayoftheWan1,Twitter for iPhone,, the playtoearngame that has what it takes to make this bearmarket2022  turn bullish. multichain gaming platform zoogames with nftlending through mirrored nfts. nogasfees available on avax and wanchain with eth and bnbchain to come bullishaf,1,0,0,0,0.0,"Sentiment(polarity=0.4, subjectivity=0.4)",0.7
841,841,2022-09-08 03:32:37+00:00,https://twitter.com/WaKeAiR_S_S/status/1567717516272717825,WaKeAiR_S_S,Twitter for Android,,_gr8ful_1  $eth $wpt eth bullish,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",1.0
826,826,2022-09-08 05:46:39+00:00,https://twitter.com/Ada28587778/status/1567751248450883585,Ada28587778,Twitter for Android,, i'm bullish zukuverse enterthejungle zuku eth nftcommunity  ,2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
851,851,2022-09-08 00:53:49+00:00,https://twitter.com/artoon920/status/1567677555410612224,artoon920,Twitter Web App,中国, 0309 $eth bearish bat 15mins prz=1.618xa short tp1=1589 tp2=1550 sl=1694 check out my eth analysis on : ,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.2
872,872,2022-09-07 20:50:40+00:00,https://twitter.com/meowmeta_/status/1567616362025041921,meowmeta_,Twitter Web App,New York City,decided to muck around and buy $2k eth.... feelin' bullish!,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
633,633,2022-09-09 11:10:18+00:00,https://twitter.com/suhartono1902/status/1568195084394594304,suhartono1902,Twitter for iPhone,MOON 🌙,lets go!!! bullish af!   nfts eth nftcommunity ,1,0,0,5,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.9
965,965,2022-09-07 02:32:45+00:00,https://twitter.com/bitcoinagile/status/1567340061426962434,bitcoinagile,bitcoinagile,Matter Doesn't Matter,ethusd potential for bearish continuation 7th september 2022 for coinbase:ethusd by desmondlzw eth $eth  ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.2
812,812,2022-09-08 08:03:00+00:00,https://twitter.com/cryptokitty1010/status/1567785561901113344,cryptokitty1010,Twitter Web App,,launching soon? bullish cult  eth crypto degen,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.75
868,868,2022-09-07 21:56:00+00:00,https://twitter.com/conorfkenny/status/1567632803470233601,conorfkenny,TweetDeck,,"bullish data as more than 2,600,000 eth already got burned since the london hardfork update!",3,0,0,0,0.0,"Sentiment(polarity=0.625, subjectivity=0.5)",0.8
814,814,2022-09-08 07:57:51+00:00,https://twitter.com/SavageBear_EL/status/1567784266704261120,SavageBear_EL,Twitter Web App,, bullish erc20 eth gems,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
703,703,2022-09-08 17:17:53+00:00,https://twitter.com/SnoopMinerETH/status/1567925202159562753,SnoopMinerETH,Twitter for iPhone,,"  metaminer will outwork, outdeliver and outperform everything.    avac ivac are building the ecosystem of a giant powerhouse.  safu and the 10 year plan is being laid out.  this doxxedteam means business.  bullish crypto nftcommunity mine eth  ",11,9,0,6,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.7
622,622,2022-09-09 14:00:38+00:00,https://twitter.com/saburdometals/status/1568237950303113216,saburdometals,Twitter Web App,🌎 ,$ethusd possible bearish divergence; 1h. ethmerge $eth eth ethereum   analysis on : ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.2
914,914,2022-09-07 14:22:04+00:00,https://twitter.com/li25825862/status/1567518568081772544,li25825862,Twitter Web App,all around the world,eth/usd   eth is testing 0.618 fib level from the below  bullish case if we break above the one | local scenario ,6,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.05)",0.5
702,702,2022-09-08 17:18:52+00:00,https://twitter.com/NunoAlm16725824/status/1567925449493209088,NunoAlm16725824,Twitter for Android,,  $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,0,0,0,0,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.7
624,624,2022-09-09 13:24:16+00:00,https://twitter.com/HB_VOLT_7827/status/1568228797308370945,HB_VOLT_7827,Twitter for Android,"Anchorage, AK",1/1 volt the hottest project under the sun   $volt voltinu voltarmy voltisoft voltichange voltieco 1000xgem hodl bullish   croeffect  voltinutothemoon  cro okx binance kucoin eth bsc  voltieco voltipay voltichange,5,4,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
993,993,2022-09-06 19:41:29+00:00,https://twitter.com/WildPilot1/status/1567236564849229828,WildPilot1,Twitter for iPhone,"Texas, USA",this!! eth bullish defi,3,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.9
869,869,2022-09-07 21:43:19+00:00,https://twitter.com/CloudAction/status/1567629610770395137,CloudAction,Twitter for Android,OnChain,eth bullish little pump bull flag on the 30min. expect a downwards correction as asia markets kick in and then a re pump .. imo gut feel ,0,0,0,0,0.0,"Sentiment(polarity=-0.1875, subjectivity=0.5)",0.5
992,992,2022-09-06 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1567241237773557763,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 06, 2022 @ 16:00 edt is  68% bullish   bullmarket    eth cryptomarket cryptonews",1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.68
912,912,2022-09-07 14:31:44+00:00,https://twitter.com/WaKeAiR_S_S/status/1567521001440772097,WaKeAiR_S_S,Twitter for Android,,  $eth $wpt eth bullish,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
820,820,2022-09-08 06:32:52+00:00,https://twitter.com/TheConspiraciz/status/1567762878782119938,TheConspiraciz,Twitter for Android,,all comes crashing   music iphone14 apple eth ethereum cryptocurrency nftcommunity ,2,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.2
990,990,2022-09-06 20:00:49+00:00,https://twitter.com/InsiderFinancex/status/1567241428626972674,InsiderFinancex,Make (formerly Integromat),United States,algo signal: $eth showing bearish trend at 1576.62 according to proprietary technical indicators from   eth ethereum crypto trading,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.1)",-0.5
988,988,2022-09-06 20:29:30+00:00,https://twitter.com/WaKeAiR_S_S/status/1567248647909249025,WaKeAiR_S_S,Twitter for Android,,   $eth $wpt eth bullish,2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.75
870,870,2022-09-07 21:30:52+00:00,https://twitter.com/KrispNaztyFarms/status/1567626480066109447,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  _investing   $eth $wpt eth bullish,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
918,918,2022-09-07 13:32:44+00:00,https://twitter.com/MasterM_______/status/1567506153474764800,MasterM_______,Twitter for Android,Italy,i'm bullish with ethereum mergeeth crypto ethmerge,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
911,911,2022-09-07 14:41:54+00:00,https://twitter.com/lucianowileyx/status/1567523557986471942,lucianowileyx,Twitter for iPhone,"Miami, FL",eth/usd   eth is testing 0.618 fib level from the below  bullish case if we break above the one | local scenario ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.05)",0.5
810,810,2022-09-08 08:47:16+00:00,https://twitter.com/Cryptoteacher__/status/1567796700986630144,Cryptoteacher__,Twitter Web App,, eth will explode next year 1000x,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
701,701,2022-09-08 17:23:32+00:00,https://twitter.com/NunoAlm16725824/status/1567926622367453184,NunoAlm16725824,Twitter for Android,, $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,4,3,0,0,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
983,983,2022-09-06 21:29:53+00:00,https://twitter.com/MissKatieCrypto/status/1567263844795387909,MissKatieCrypto,Twitter Web App,,options are rather bullish on eth after merge takes place. estimate time of merge is 15 september 3:44 utc and can be seen here:  ethereum eth ,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
630,630,2022-09-09 12:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1568207604794392576,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 09, 2022 @ 08:00 edt is  65% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.65
700,700,2022-09-08 17:23:44+00:00,https://twitter.com/NunoAlm16725824/status/1567926672648724482,NunoAlm16725824,Twitter for Android,,     $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha   cryptocurrency 100xgem 1000xgem eth ,2,2,0,3,0.0,"Sentiment(polarity=0.3125, subjectivity=0.3)",0.8
689,689,2022-09-08 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1567966013190201351,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 08, 2022 @ 16:00 edt is  60% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.6
844,844,2022-09-08 02:32:44+00:00,https://twitter.com/bitcoinagile/status/1567702448420028417,bitcoinagile,bitcoinagile,Matter Doesn't Matter,ethusd potential for bullish rise 8th september 2022 for coinbase:ethusd by desmondlzw eth $eth  ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.5
932,932,2022-09-07 10:17:06+00:00,https://twitter.com/CreativeSeason2/status/1567456922739032066,CreativeSeason2,Twitter for Android,,cryptocurrency highlights today: technical analysis by creativeseasonofficial day 2  analyze this:  is it:  1. bullish?  2. bearish?   what does the little red hammer at the end of the chart mean? time to buy?   lunaclassic lunac eth ethereummerge ,0,0,0,0,0.0,"Sentiment(polarity=-0.125, subjectivity=0.321875)",0.5
733,733,2022-09-08 11:53:38+00:00,https://twitter.com/MulderSonny/status/1567843603422003205,MulderSonny,Twitter Web App,Europe,"if the eth merge is succesful, there will be a set % yield for the cryptomarket overall. this is an extemely bullish narrative for future investments into the space. it could also (when succesful) be a catalyst to start moving up interest/price in q4.   thoughts?",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0625)",0.9
711,711,2022-09-08 15:32:42+00:00,https://twitter.com/Issabel81/status/1567898733047861248,Issabel81,Twitter Web App,,eth/usd   we have an inverse head &amp; shoulders formation on 4h  bullish case if we break above the neckline of the one ,4,0,1,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.1)",0.7
664,664,2022-09-09 00:25:20+00:00,https://twitter.com/KrispNaztyFarms/status/1568032772219932672,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  $eth $wpt eth bullish,2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
727,727,2022-09-08 12:15:06+00:00,https://twitter.com/KrispNaztyFarms/status/1567849005018644481,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  $eth $wpt eth bullish,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.75
889,889,2022-09-07 17:33:19+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566697715859456,WaKeAiR_S_S,Twitter for Android,, so bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt eth warpigstoken,2,0,0,0,0.0,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.7
723,723,2022-09-08 13:07:44+00:00,https://twitter.com/bitcoinagile/status/1567862249720614914,bitcoinagile,bitcoinagile,Matter Doesn't Matter,eth bullish formation : buy a break or a pullback for binance:ethusdt by giorgiovie eth $eth  ,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
721,721,2022-09-08 13:54:52+00:00,https://twitter.com/TradeConfident/status/1567874112856670211,TradeConfident,Twitter Web App,,"""watch closely!"" - 4 bearish $1,400 signs heading into merge! (ethereum merge price prediction)   video:   crypto cryptocurrency ethereum eth ",0,0,0,2,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.2
674,674,2022-09-08 22:38:39+00:00,https://twitter.com/NunoAlm16725824/status/1568005926128328706,NunoAlm16725824,Twitter for Android,, $bct sitting at 330 holders now and the dao governors are starting to deliver bullish proposals that will be put up to vote in 2 days!   will be the most bullish and hyperdeflacionary dao token ever!   this is alpha !   crypto eth cult shiba bone saitama ,3,1,0,1,0.0,"Sentiment(polarity=0.390625, subjectivity=0.3)",0.7
665,665,2022-09-09 00:23:03+00:00,https://twitter.com/KrispNaztyFarms/status/1568032199663910917,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  _investing  $eth $wpt eth bullish,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
666,666,2022-09-09 00:20:11+00:00,https://twitter.com/KrispNaztyFarms/status/1568031477375328257,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  $eth $wpt eth bullish,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
838,838,2022-09-08 04:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1567724420357132294,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 08, 2022 @ 00:00 edt is  50% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
720,720,2022-09-08 13:55:04+00:00,https://twitter.com/UpstreamCharlie/status/1567874163058298882,UpstreamCharlie,Twitter Web App,Philippines,"ethereum is forming an ascending triangle. ascending triangle patterns are bullish, meaning that they show that an asset's price is likely to climb higher as the pattern completes itself. eth crypto cryptocurency ",1,0,0,3,0.0,"Sentiment(polarity=0.125, subjectivity=0.75)",0.8
928,928,2022-09-07 12:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1567482829642125312,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 07, 2022 @ 08:00 edt is  51% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.51
945,945,2022-09-07 06:29:02+00:00,https://twitter.com/rigduud/status/1567399525731516418,rigduud,Twitter Web App,Finland,1 year $flux gpu mining chart looks bullish with upcoming ethmerge . except 5-10 ms/s soon and do the maths what it means to price eth pow $erg $rvn $etc ,40,9,0,2,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
845,845,2022-09-08 02:30:02+00:00,https://twitter.com/MilaPlayporn/status/1567701768691224584,MilaPlayporn,milaplayporn,,solana eyes 40% jump in august despite long-term bearish signals gold cryptocurrency blockchain eth ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.2
943,943,2022-09-07 07:02:06+00:00,https://twitter.com/Cryptochina_/status/1567407847495041026,Cryptochina_,Twitter for Android,"Hangzhou, China", with eth merge..kind of bullish!,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
942,942,2022-09-07 07:17:46+00:00,https://twitter.com/bitcoinagile/status/1567411788748038144,bitcoinagile,bitcoinagile,Matter Doesn't Matter,ethusd potential for bearish continuation 7th september 2022 for coinbase:ethusd by fxcm eth $eth  ,3,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.2
941,941,2022-09-07 08:03:41+00:00,https://twitter.com/LovidioCrypto/status/1567423343451869184,LovidioCrypto,Twitter for Android,, i hold more eth at the same time more $spunk coz both are bullish!,8,3,0,1,0.0,"Sentiment(polarity=0.375, subjectivity=0.375)",0.8
